,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
184,Anchorage,Anchorage,AK,Alaska,2020,Anchorage,61.1508,-149.1091,247949,65.0,polygon,False,True,America/Anchorage,2,99518 99515 99517 99516 99513 99540 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99511 99514 99520 99521 99522 99523 99524 99529 99530 99599,1840023385
773,Fairbanks,Fairbanks,AK,Alaska,2090,Fairbanks North Star,64.8353,-147.6534,63245,375.0,polygon,False,True,America/Anchorage,3,99701 99703 99707,1840023463
1916,Juneau,Juneau,AK,Alaska,2110,Juneau,58.4546,-134.1739,25085,4.0,polygon,False,True,America/Juneau,2,99824 99801 99802 99803 99811 99812 99821 99850,1840023306
2516,Badger,Badger,AK,Alaska,2090,Fairbanks North Star,64.8006,-147.3877,18792,110.0,polygon,False,False,America/Anchorage,3,99705 99711,1840023690
2674,Knik-Fairview,Knik-Fairview,AK,Alaska,2170,Matanuska-Susitna,61.4964,-149.6535,17513,81.0,polygon,False,True,America/Anchorage,3,99654,1840075080
3247,College,College,AK,Alaska,2090,Fairbanks North Star,64.8694,-147.8217,13709,282.0,polygon,False,False,America/Anchorage,3,99709 99775,1840023462
3910,Wasilla,Wasilla,AK,Alaska,2170,Matanuska-Susitna,61.577,-149.466,10838,337.0,polygon,False,True,America/Anchorage,3,99654,1840023371
3958,Ketchikan,Ketchikan,AK,Alaska,2130,Ketchikan Gateway,55.3556,-131.6698,10652,838.0,polygon,False,True,America/Sitka,3,99901 99950,1840023270
3995,Tanaina,Tanaina,AK,Alaska,2170,Matanuska-Susitna,61.656,-149.4272,10520,133.0,polygon,False,False,America/Anchorage,3,99654,1840023662
4513,Kodiak,Kodiak,AK,Alaska,2150,Kodiak Island,57.7934,-152.406,8851,571.0,polygon,False,True,America/Anchorage,3,99615 99619,1840023301
4819,Kalifornsky,Kalifornsky,AK,Alaska,2122,Kenai Peninsula,60.4417,-151.1972,8134,45.0,polygon,False,False,America/Anchorage,3,99610 99611 99669,1840023406
5033,Meadow Lakes,Meadow Lakes,AK,Alaska,2170,Matanuska-Susitna,61.638,-149.608,7656,39.0,polygon,False,False,America/Anchorage,3,99688 99654,1840023681
5124,Palmer,Palmer,AK,Alaska,2170,Matanuska-Susitna,61.5971,-149.1147,7456,567.0,polygon,False,True,America/Anchorage,3,99645,1840023379
5155,Soldotna,Soldotna,AK,Alaska,2122,Kenai Peninsula,60.4862,-151.0672,7398,261.0,polygon,False,True,America/Anchorage,3,99669,1840023415
5165,Steele Creek,Steele Creek,AK,Alaska,2090,Fairbanks North Star,64.9295,-147.3955,7380,30.0,polygon,False,True,America/Anchorage,3,99712 99710,1840075216
