,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
10,Phoenix,Phoenix,AZ,Arizona,4013,Maricopa,33.5722,-112.0891,4219697,1253.0,polygon,False,True,America/Phoenix,1,85008 85009 85006 85007 85004 85083 85086 85087 85085 85383 85033 85304 85306 85308 85020 85021 85022 85023 85024 85027 85028 85029 85353 85019 85018 85013 85012 85015 85014 85017 85016 85254 85003 85044 85045 85042 85043 85040 85041 85048 85054 85037 85035 85034 85032 85031 85307 85310 85051 85050 85053 85001 85002 85005 85010 85011 85026 85030 85036 85038 85046 85060 85061 85062 85063 85064 85065 85066 85067 85068 85069 85070 85071 85072 85073 85074 85075 85076 85078 85079 85080 85082,1840020568
55,Tucson,Tucson,AZ,Arizona,4019,Pima,32.1545,-110.8782,888486,889.0,polygon,False,True,America/Phoenix,2,85705 85707 85706 85756 85723 85726 85724 85701 85708 85711 85748 85745 85747 85716 85714 85715 85712 85713 85710 85719 85730 85702 85703 85709 85717 85720 85721 85722 85725 85731 85732 85738 85751 85754 85775,1840022101
83,Mesa,Mesa,AZ,Arizona,4013,Maricopa,33.4017,-111.718,518012,1448.0,polygon,False,True,America/Phoenix,2,85208 85209 85201 85202 85203 85204 85205 85206 85207 85215 85213 85212 85210 85211 85214 85216 85274 85275 85277,1840020566
173,Chandler,Chandler,AZ,Arizona,4013,Maricopa,33.2826,-111.8516,261165,1548.0,polygon,False,True,America/Phoenix,2,85248 85249 85226 85224 85225 85286 85246,1840019309
175,Scottsdale,Scottsdale,AZ,Arizona,4013,Maricopa,33.6872,-111.8651,258069,541.0,polygon,False,True,America/Phoenix,2,85259 85258 85251 85250 85257 85255 85254 85266 85262 85260 85252 85261 85267 85271,1840021940
181,Gilbert,Gilbert,AZ,Arizona,4013,Maricopa,33.3101,-111.7463,254114,1432.0,polygon,False,True,America/Phoenix,2,85233 85234 85297 85296 85295 85298 85236 85244 85299,1840021947
182,Glendale,Glendale,AZ,Arizona,4013,Maricopa,33.5791,-112.2311,252381,1582.0,polygon,False,True,America/Phoenix,2,85301 85303 85302 85304 85306 85308 85355 85305 85307 85309 85310 85311 85312 85318,1840020563
200,Avondale,Avondale,AZ,Arizona,4013,Maricopa,33.3858,-112.3236,227289,750.0,polygon,False,True,America/Phoenix,2,85323 85392 85329,1840019310
230,Tempe,Tempe,AZ,Arizona,4013,Maricopa,33.3881,-111.9318,195805,1891.0,polygon,False,True,America/Phoenix,2,85281 85282 85283 85284 85280 85285 85287,1840021942
257,Peoria,Peoria,AZ,Arizona,4013,Maricopa,33.7844,-112.2989,175961,386.0,polygon,False,True,America/Phoenix,2,85381 85383 85382 85373 85345 85342 85380 85385,1840020567
311,Yuma,Yuma,AZ,Arizona,4027,Yuma,32.5992,-114.5488,142847,313.0,polygon,False,True,America/Phoenix,2,85365 85364 85369,1840021998
312,Surprise,Surprise,AZ,Arizona,4013,Maricopa,33.68,-112.4524,141664,506.0,polygon,False,True,America/Phoenix,2,85361 85379 85388 85387 85374 85375 85378,1840021941
450,Prescott Valley,Prescott Valley,AZ,Arizona,4025,Yavapai,34.5983,-112.3176,101539,439.0,polygon,False,True,America/Phoenix,2,86327 86315 86314 86312,1840021772
497,San Tan Valley,San Tan Valley,AZ,Arizona,4021,Pinal,33.1879,-111.5472,93230,981.0,polygon,False,False,America/Phoenix,3,85143 85140,1840027990
533,Goodyear,Goodyear,AZ,Arizona,4013,Maricopa,33.2613,-112.3622,86840,175.0,polygon,False,True,America/Phoenix,3,85139 85338 85326 85340 85395,1840020564
564,Flagstaff,Flagstaff,AZ,Arizona,4005,Coconino,35.1872,-111.6195,81974,438.0,polygon,False,True,America/Phoenix,3,86001 86011 86004 86002 86005,1840020335
587,Buckeye,Buckeye,AZ,Arizona,4013,Maricopa,33.4314,-112.6429,79620,78.0,polygon,False,True,America/Phoenix,3,85326 85396,1840021939
697,Casas Adobes,Casas Adobes,AZ,Arizona,4019,Pima,32.3423,-111.0114,69615,1008.0,polygon,False,False,America/Phoenix,3,85704 85741 85742 85752,1840018108
797,Casa Grande,Casa Grande,AZ,Arizona,4021,Pinal,32.9068,-111.7624,61966,204.0,polygon,False,True,America/Phoenix,3,85194 85193 85122 85130,1840019364
881,Lake Havasu City,Lake Havasu City,AZ,Arizona,4015,Mohave,34.5006,-114.3113,56820,465.0,polygon,False,True,America/Los_Angeles,3,86403 86406 86404 86405,1840021044
959,Sierra Vista,Sierra Vista,AZ,Arizona,4003,Cochise,31.563,-110.3153,51731,109.0,polygon,False,True,America/Phoenix,3,85650 85635 85613 85670 85671,1840022103
977,Queen Creek,Queen Creek,AZ,Arizona,4013,Maricopa,33.2386,-111.6343,50890,606.0,polygon,False,True,America/Phoenix,3,85142 85140,1840021944
980,Maricopa,Maricopa,AZ,Arizona,4021,Pinal,33.0404,-112.0006,50752,470.0,polygon,False,True,America/Phoenix,3,85138 85139,1840020629
982,Sahuarita,Sahuarita,AZ,Arizona,4019,Pima,31.9323,-110.9654,50616,382.0,polygon,False,True,America/Phoenix,3,85629 85614,1840022102
986,Catalina Foothills,Catalina Foothills,AZ,Arizona,4019,Pima,32.3041,-110.8835,50426,465.0,polygon,False,False,America/Phoenix,3,85718 85750 85715 85728,1840018110
990,Bullhead City,Bullhead City,AZ,Arizona,4015,Mohave,35.1205,-114.546,50309,265.0,polygon,False,True,America/Phoenix,3,86442 86429 86430 86439,1840019748
1018,Marana,Marana,AZ,Arizona,4019,Pima,32.4355,-111.1558,49030,156.0,polygon,False,True,America/Phoenix,3,85653 85741 85743 85742 85658 85652 85740,1840023057
1072,Kingman,Kingman,AZ,Arizona,4015,Mohave,35.217,-114.0105,46524,318.0,polygon,False,True,America/Phoenix,3,86409 86401,1840021043
1087,Oro Valley,Oro Valley,AZ,Arizona,4019,Pima,32.4208,-110.9768,46044,509.0,polygon,False,True,America/Phoenix,3,85755 85704 85737,1840023058
1116,Prescott,Prescott,AZ,Arizona,4025,Yavapai,34.585,-112.4475,44299,380.0,polygon,False,True,America/Phoenix,3,86305 86301 86303 86313 86302 86304,1840020436
1152,Apache Junction,Apache Junction,AZ,Arizona,4021,Pinal,33.3985,-111.5351,42571,468.0,polygon,False,True,America/Phoenix,3,85119 85120 85117 85178,1840019365
1247,Sun City,Sun City,AZ,Arizona,4013,Maricopa,33.6165,-112.2819,39348,1053.0,polygon,False,False,America/Phoenix,3,85351 85373 85372,1840019311
1369,El Mirage,El Mirage,AZ,Arizona,4013,Maricopa,33.5905,-112.3271,35753,1394.0,polygon,False,True,America/Phoenix,3,85335,1840020562
1488,San Luis,San Luis,AZ,Arizona,4027,Yuma,32.4911,-114.7089,32850,393.0,polygon,False,True,America/Phoenix,3,85350 85349,1840021996
1560,Nogales,Nogales,AZ,Arizona,4023,Santa Cruz,31.3624,-110.9336,30917,372.0,polygon,False,True,America/Phoenix,3,85621,1840020823
1635,Drexel Heights,Drexel Heights,AZ,Arizona,4019,Pima,32.1457,-111.0478,29514,585.0,polygon,False,False,America/Phoenix,3,85757 85746,1840027928
1638,Fortuna Foothills,Fortuna Foothills,AZ,Arizona,4027,Yuma,32.6616,-114.3973,29485,284.0,polygon,False,False,America/Phoenix,3,85367,1840027989
1883,Sun City West,Sun City West,AZ,Arizona,4013,Maricopa,33.6693,-112.3575,25444,905.0,polygon,False,False,America/Phoenix,3,85375 85376,1840019312
1905,Fountain Hills,Fountain Hills,AZ,Arizona,4013,Maricopa,33.6073,-111.7398,25200,479.0,polygon,False,True,America/Phoenix,3,85268 85269,1840021945
2127,Anthem,Anthem,AZ,Arizona,4013,Maricopa,33.856,-112.1168,22570,1101.0,polygon,False,False,America/Phoenix,3,85086,1840022919
2202,Green Valley,Green Valley,AZ,Arizona,4019,Pima,31.8436,-111.0174,21723,261.0,polygon,False,False,America/Phoenix,3,85622 85614,1840018111
2389,Safford,Safford,AZ,Arizona,4009,Graham,32.8317,-109.7005,19987,450.0,polygon,False,True,America/Phoenix,3,85546,1840021989
2429,Somerton,Somerton,AZ,Arizona,4027,Yuma,32.6009,-114.699,19684,861.0,polygon,False,True,America/Phoenix,3,85350,1840021997
