,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
99,Little Rock,Little Rock,AR,Arkansas,5119,Pulaski,34.7256,-92.3576,439815,634.0,polygon,False,True,America/Chicago,2,72211 72210 72212 72223 72209 72202 72201 72206 72207 72204 72205 72103 72227 72215 72217 72219 72222 72225 72231 72255 72260 72295,1840015509
121,Fayetteville,Fayetteville,AR,Arkansas,5143,Washington,36.0713,-94.166,351246,625.0,polygon,False,True,America/Chicago,2,72704 72703 72701 72702,1840013368
353,Fort Smith,Fort Smith,AR,Arkansas,5131,Sebastian,35.3493,-94.3695,125354,536.0,polygon,False,True,America/Chicago,2,72901 72904 72908 72903 72923 72916 72905 72906 72913 72914 72917 72918 72919,1840013456
572,Springdale,Springdale,AR,Arkansas,5143,Washington,36.1899,-94.1574,81125,668.0,polygon,False,True,America/Chicago,3,72764 72762 72765 72766,1840015336
621,Jonesboro,Jonesboro,AR,Arkansas,5031,Craighead,35.8212,-90.6791,76247,377.0,polygon,False,True,America/Chicago,3,72467 72404 72401 72402 72403 72405,1840014507
637,Conway,Conway,AR,Arkansas,5045,Faulkner,35.0754,-92.4694,74951,567.0,polygon,False,True,America/Chicago,3,72032 72035 72034,1840014598
708,Rogers,Rogers,AR,Arkansas,5007,Benton,36.3172,-94.1526,68669,685.0,polygon,False,True,America/Chicago,3,72758 72756 72718 72716 72757,1840014444
740,North Little Rock,North Little Rock,AR,Arkansas,5119,Pulaski,34.7808,-92.2371,65903,486.0,polygon,False,True,America/Chicago,3,72113 72116 72114 72118 72117 72115 72124 72190 72199 72214,1840014632
813,Hot Springs,Hot Springs,AR,Arkansas,5051,Garland,34.4892,-93.0501,60767,400.0,polygon,False,True,America/Chicago,3,71901 71913 71902 71914,1840014670
912,Bentonville,Bentonville,AR,Arkansas,5007,Benton,36.3546,-94.2306,54909,627.0,polygon,False,True,America/Chicago,3,72712,1840013319
1098,Pine Bluff,Pine Bluff,AR,Arkansas,5069,Jefferson,34.2116,-92.0178,45204,365.0,polygon,False,True,America/Chicago,3,71602 71601 71603 71611 71612,1840014699
1330,Benton,Benton,AR,Arkansas,5125,Saline,34.5775,-92.5712,36820,625.0,polygon,False,True,America/Chicago,3,72019 72015 72018 72158,1840013572
1426,Russellville,Russellville,AR,Arkansas,5115,Pope,35.2763,-93.1383,34205,397.0,polygon,False,True,America/Chicago,3,72802 72801 72811,1840014541
1538,Sherwood,Sherwood,AR,Arkansas,5119,Pulaski,34.8508,-92.2028,31436,582.0,polygon,False,True,America/Chicago,3,72120 72076 72117 72216,1840015511
1623,Texarkana,Texarkana,AR,Arkansas,5091,Miller,33.4361,-93.996,29657,273.0,polygon,False,True,America/Chicago,3,71854,1840015708
1659,Bella Vista,Bella Vista,AR,Arkansas,5007,Benton,36.4667,-94.2707,28872,246.0,polygon,False,True,America/Chicago,3,72714 72715,1840015287
1692,Jacksonville,Jacksonville,AR,Arkansas,5119,Pulaski,34.8807,-92.1302,28235,381.0,polygon,False,True,America/Chicago,3,72099 72076 72078,1840014633
1745,Paragould,Paragould,AR,Arkansas,5055,Greene,36.0555,-90.5149,27328,351.0,polygon,False,True,America/Chicago,3,72450 72451,1840014474
1785,Searcy,Searcy,AR,Arkansas,5145,White,35.2418,-91.7351,26889,498.0,polygon,False,True,America/Chicago,3,72149 72143 72145,1840015429
1816,Cabot,Cabot,AR,Arkansas,5085,Lonoke,34.9768,-92.0274,26352,490.0,polygon,False,True,America/Chicago,3,72023,1840013530
1974,West Memphis,West Memphis,AR,Arkansas,5035,Crittenden,35.1531,-90.1995,24402,326.0,polygon,False,True,America/Chicago,3,72301 72364 72303,1840015448
2036,Van Buren,Van Buren,AR,Arkansas,5033,Crawford,35.448,-94.3528,23683,593.0,polygon,False,True,America/Chicago,3,72956 72957,1840015397
2180,Siloam Springs,Siloam Springs,AR,Arkansas,5007,Benton,36.1844,-94.5318,21975,580.0,polygon,False,True,America/Chicago,3,72761,1840015288
2277,Bryant,Bryant,AR,Arkansas,5125,Saline,34.6152,-92.4914,20968,395.0,polygon,False,True,America/Chicago,3,72002 72022 72089,1840013573
2578,Maumelle,Maumelle,AR,Arkansas,5119,Pulaski,34.8522,-92.4,18199,582.0,polygon,False,True,America/Chicago,3,72113,1840015510
