,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
17,Denver,Denver,CO,Colorado,8031,Denver,39.7621,-104.8759,2876625,1831.0,polygon,False,True,America/Denver,1,80264 80230 80231 80236 80237 80235 80238 80239 80123 80249 80247 80246 80290 80293 80294 80218 80219 80210 80211 80212 80216 80221 80220 80223 80222 80224 80227 80209 80207 80206 80205 80204 80202 80014 80203 80208 80217 80243 80244 80248 80250 80256 80257 80259 80261 80262 80265 80266 80271 80273 80274 80281 80291 80299,1840018789
70,Colorado Springs,Colorado Springs,CO,Colorado,8041,El Paso,38.8674,-104.7606,642413,946.0,polygon,False,True,America/Denver,2,80951 80909 80904 80905 80906 80907 80903 80939 80938 80910 80917 80916 80915 80914 80919 80918 80927 80924 80925 80922 80923 80920 80921 80929 80901 80932 80934 80935 80936 80937 80941 80942 80946 80947 80949 80950 80960 80962 80977 80995 80997,1840018825
119,Aurora,Aurora,CO,Colorado,8001,Adams,39.7087,-104.7273,379289,949.0,polygon,False,True,America/Denver,2,80247 80137 80045 80018 80019 80016 80017 80014 80015 80012 80013 80010 80011 80040 80041 80042 80044 80046 80047,1840018794
141,Fort Collins,Fort Collins,CO,Colorado,8069,Larimer,40.5478,-105.0656,312666,1149.0,polygon,False,True,America/Denver,2,80521 80528 80526 80524 80525 80523 80527 80553,1840020151
277,Lakewood,Lakewood,CO,Colorado,8059,Jefferson,39.6977,-105.1168,157935,1416.0,polygon,False,True,America/Denver,2,80465 80232 80235 80214 80215 80227 80226 80228 80201 80225,1840020198
307,Pueblo,Pueblo,CO,Colorado,8101,Pueblo,38.2705,-104.6112,143932,789.0,polygon,False,True,America/Denver,2,81004 81005 81003 81001 81008 81002 81010 81011 81012,1840020255
316,Thornton,Thornton,CO,Colorado,8001,Adams,39.9197,-104.9438,141464,1521.0,polygon,False,True,America/Denver,2,80260 80233 80241 80602 80640 80023 80229 80614,1840021422
325,Grand Junction,Grand Junction,CO,Colorado,8077,Mesa,39.0876,-108.5673,139143,621.0,polygon,False,True,America/Denver,2,81505 81504 81507 81506 81501,1840020230
329,Greeley,Greeley,CO,Colorado,8123,Weld,40.4151,-104.7706,137810,858.0,polygon,False,True,America/Denver,2,80634 80631 80632 80633 80638 80639,1840020149
356,Boulder,Boulder,CO,Colorado,8013,Boulder,40.0249,-105.2523,124345,1551.0,polygon,False,True,America/Denver,2,80310 80304 80305 80302 80303 80301 80307 80309 80314,1840018774
361,Arvada,Arvada,CO,Colorado,8059,Jefferson,39.8321,-105.1511,121272,1207.0,polygon,False,True,America/Denver,2,80005 80004 80007 80003 80002 80403 80001 80006,1840018788
397,Westminster,Westminster,CO,Colorado,8001,Adams,39.8837,-105.0624,113166,1383.0,polygon,False,True,America/Denver,2,80030 80031 80234 80005 80003 80021 80020 80035,1840021423
409,Centennial,Centennial,CO,Colorado,8005,Arapahoe,39.5926,-104.8674,110937,1448.0,polygon,False,True,America/Denver,2,80122 80121 80112 80016 80015 80111 80155 80161,1840018792
436,Highlands Ranch,Highlands Ranch,CO,Colorado,8035,Douglas,39.5419,-104.9708,105147,1672.0,polygon,False,False,America/Denver,2,80129 80126 80130 80163,1840028579
446,Longmont,Longmont,CO,Colorado,8013,Boulder,40.1686,-105.1005,102474,1306.0,polygon,False,True,America/Denver,2,80501 80503 80504,1840020178
464,Lafayette,Lafayette,CO,Colorado,8013,Boulder,39.9949,-105.0997,99645,1257.0,polygon,False,True,America/Denver,3,80026,1840020180
600,Loveland,Loveland,CO,Colorado,8069,Larimer,40.4166,-105.0623,78877,885.0,polygon,False,True,America/Denver,3,80538 80537 80539,1840020152
687,Broomfield,Broomfield,CO,Colorado,8014,Broomfield,39.9541,-105.0527,70465,824.0,polygon,False,True,America/Denver,3,80023 80021 80020 80516 80038,1840018781
709,Castle Rock,Castle Rock,CO,Colorado,8035,Douglas,39.3763,-104.8535,68484,771.0,polygon,False,True,America/Denver,3,80104 80108 80109,1840022455
818,Commerce City,Commerce City,CO,Colorado,8001,Adams,39.8642,-104.8434,60336,652.0,polygon,False,True,America/Denver,3,80640 80022 80037,1840018785
868,Parker,Parker,CO,Colorado,8035,Douglas,39.5084,-104.7753,57706,1003.0,polygon,False,True,America/Denver,3,80138 80134,1840022454
1047,Littleton,Littleton,CO,Colorado,8005,Arapahoe,39.5915,-105.0188,48065,1469.0,polygon,False,True,America/Denver,3,80128 80122 80123 80120 80160 80165 80166,1840020213
1181,Brighton,Brighton,CO,Colorado,8001,Adams,39.9716,-104.7964,41554,757.0,polygon,False,True,America/Denver,3,80603 80601,1840018784
1268,Northglenn,Northglenn,CO,Colorado,8001,Adams,39.9108,-104.9783,38819,2038.0,polygon,False,True,America/Denver,2,80260 80233 80234 80603,1840020192
1288,Security-Widefield,Security-Widefield,CO,Colorado,8041,El Paso,38.7489,-104.7142,38134,1132.0,polygon,False,True,America/Denver,3,80911 80925 80931,1840074635
1392,Englewood,Englewood,CO,Colorado,8005,Arapahoe,39.6468,-104.9942,34917,2057.0,polygon,False,True,America/Denver,2,80113 80110 80150 80151,1840020211
1422,Dakota Ridge,Dakota Ridge,CO,Colorado,8059,Jefferson,39.6192,-105.1344,34250,1409.0,polygon,False,True,America/Denver,3,80465 80235 80127,1840038683
1424,Firestone,Firestone,CO,Colorado,8123,Weld,40.1563,-104.9494,34230,462.0,polygon,False,True,America/Denver,3,80520 80504,1840021363
1450,Ken Caryl,Ken Caryl,CO,Colorado,8059,Jefferson,39.577,-105.1144,33804,1327.0,polygon,False,False,America/Denver,3,80128 80127 80162,1840028580
1525,Pueblo West,Pueblo West,CO,Colorado,8101,Pueblo,38.3551,-104.7266,31860,174.0,polygon,False,False,America/Denver,3,81007,1840018860
1544,Wheat Ridge,Wheat Ridge,CO,Colorado,8059,Jefferson,39.7728,-105.1029,31324,1294.0,polygon,False,True,America/Denver,3,80033 80212 80214 80034,1840021431
1575,Fountain,Fountain,CO,Colorado,8041,El Paso,38.6886,-104.6829,30735,527.0,polygon,False,True,America/Denver,3,80817,1840020236
1584,Windsor,Windsor,CO,Colorado,8123,Weld,40.4693,-104.9213,30477,469.0,polygon,False,True,America/Denver,3,80550 80551,1840022401
1727,Cañon City,Canon City,CO,Colorado,8043,Fremont,38.443,-105.2203,27676,521.0,polygon,False,True,America/Denver,3,81212 81215,1840018855
1771,Erie,Erie,CO,Colorado,8013,Boulder,40.0403,-105.0398,27003,529.0,polygon,False,True,America/Denver,3,80516,1840021362
1915,Columbine,Columbine,CO,Colorado,8059,Jefferson,39.5879,-105.0694,25094,1461.0,polygon,False,False,America/Denver,3,80128 80123,1840135257
2061,Montrose,Montrose,CO,Colorado,8085,Montrose,38.469,-107.859,23478,413.0,polygon,False,True,America/Denver,3,81403 81401 81402,1840020251
2254,Evans,Evans,CO,Colorado,8123,Weld,40.366,-104.7389,21205,804.0,polygon,False,True,America/Denver,3,80645 80634 80620,1840020147
2270,Johnstown,Johnstown,CO,Colorado,8123,Weld,40.3499,-104.9481,21048,426.0,polygon,False,True,America/Denver,3,80534,1840021369
2292,Louisville,Louisville,CO,Colorado,8013,Boulder,39.9709,-105.1441,20816,1007.0,polygon,False,True,America/Denver,3,80027,1840020179
2298,Golden,Golden,CO,Colorado,8059,Jefferson,39.7406,-105.2118,20767,831.0,polygon,False,True,America/Denver,3,80401 80403 80419 80402,1840020197
2318,Clifton,Clifton,CO,Colorado,8077,Mesa,39.0763,-108.4606,20572,1313.0,polygon,False,False,America/Denver,3,81520 81504,1840017556
2357,Durango,Durango,CO,Colorado,8067,La Plata,37.2659,-107.8782,20203,498.0,polygon,False,True,America/Denver,3,81301 81303,1840018929
2466,Silverthorne,Silverthorne,CO,Colorado,8117,Summit,39.656,-106.0867,19344,467.0,polygon,False,True,America/Denver,3,80498,1840022436
2478,Sherrelwood,Sherrelwood,CO,Colorado,8001,Adams,39.839,-105.0014,19243,3059.0,polygon,False,False,America/Denver,2,80221 80263,1840028581
2566,Cimarron Hills,Cimarron Hills,CO,Colorado,8041,El Paso,38.8597,-104.6995,18285,1188.0,polygon,False,False,America/Denver,3,80915 80922 80970,1840028574
2827,Welby,Welby,CO,Colorado,8001,Adams,39.8403,-104.9655,16352,1703.0,polygon,False,False,America/Denver,3,80229,1840028449
2920,Sterling,Sterling,CO,Colorado,8075,Logan,40.6206,-103.1925,15780,752.0,polygon,False,True,America/Denver,3,80751,1840021377
2926,Greenwood Village,Greenwood Village,CO,Colorado,8005,Arapahoe,39.6152,-104.913,15735,735.0,polygon,False,True,America/Denver,3,80121 80111,1840020212
2978,Fort Carson,Fort Carson,CO,Colorado,8041,El Paso,38.7403,-104.784,15410,692.0,polygon,True,True,America/Denver,3,80902 80913,1840028557
3131,Black Forest,Black Forest,CO,Colorado,8041,El Paso,39.0608,-104.6752,14274,54.0,polygon,False,False,America/Denver,3,80908 80106 80912,1840017562
3169,Steamboat Springs,Steamboat Springs,CO,Colorado,8107,Routt,40.4777,-106.8243,14087,516.0,polygon,False,True,America/Denver,3,80487 80488 80477,1840021374
3198,Frederick,Frederick,CO,Colorado,8123,Weld,40.1089,-104.9694,13960,364.0,polygon,False,True,America/Denver,3,80504 80530 80516,1840021364
3289,Fruita,Fruita,CO,Colorado,8077,Mesa,39.1549,-108.7307,13478,660.0,polygon,False,True,America/Denver,3,81521,1840020229
3323,Fort Morgan,Fort Morgan,CO,Colorado,8087,Morgan,40.2538,-103.7909,13349,862.0,polygon,False,True,America/Denver,3,80701,1840020175
3376,Superior,Superior,CO,Colorado,8013,Boulder,39.9341,-105.1588,13087,1280.0,polygon,False,True,America/Denver,3,80027,1840022425
3379,Lone Tree,Lone Tree,CO,Colorado,8035,Douglas,39.5309,-104.871,13082,514.0,polygon,False,True,America/Denver,3,80124 80134,1840020222
3424,Federal Heights,Federal Heights,CO,Colorado,8001,Adams,39.8651,-105.0154,12827,2788.0,polygon,False,True,America/Denver,2,80260,1840028425
3471,Cherry Creek,Cherry Creek,CO,Colorado,8005,Arapahoe,39.6094,-104.8645,12601,2913.0,polygon,False,False,America/Denver,2,80111,1840028588
3627,Glenwood Springs,Glenwood Springs,CO,Colorado,8045,Garfield,39.5455,-107.3346,11962,656.0,polygon,False,True,America/Denver,3,81601,1840020184
3664,Berkley,Berkley,CO,Colorado,8001,Adams,39.8045,-105.0281,11822,1264.0,polygon,False,False,America/Denver,3,80003 80221,1840028561
3684,The Pinery,The Pinery,CO,Colorado,8035,Douglas,39.4462,-104.7591,11754,437.0,polygon,False,False,America/Denver,3,80134,1840028583
3732,Woodland Park,Woodland Park,CO,Colorado,8119,Teller,38.9985,-105.0594,11530,458.0,polygon,False,True,America/Denver,3,80863 80866,1840021468
3856,Rifle,Rifle,CO,Colorado,8045,Garfield,39.5362,-107.7729,11089,532.0,polygon,False,True,America/Denver,3,81650,1840020185
3923,Castle Pines,Castle Pines,CO,Colorado,8035,Douglas,39.4625,-104.8706,10763,433.0,polygon,False,True,America/Denver,3,80108,1840022456
3959,Alamosa,Alamosa,CO,Colorado,8003,Alamosa,37.4751,-105.8769,10652,492.0,polygon,False,True,America/Denver,3,81101,1840018921
4049,Wellington,Wellington,CO,Colorado,8069,Larimer,40.7,-105.0054,10329,1111.0,polygon,False,True,America/Denver,3,80549,1840022411
