,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
51,Bridgeport,Bridgeport,CT,Connecticut,9001,Fairfield,41.1918,-73.1953,924449,3470.0,polygon,False,True,America/New_York,2,06605 06604 06607 06606 06608 06610 06601 06602,1840004836
54,Hartford,Hartford,CT,Connecticut,9003,Hartford,41.7661,-72.6834,905152,2712.0,polygon,False,True,America/New_York,2,06106 06105 06103 06120 06112 06160 06114 06101 06102 06104 06115 06123 06126 06127 06132 06133 06134 06140 06141 06142 06143 06144 06145 06146 06147 06150 06151 06152 06154 06167 06176 06183,1840004773
81,New Haven,New Haven,CT,Connecticut,9009,New Haven,41.3112,-72.9246,564830,2690.0,polygon,False,True,America/New_York,2,06519 06511 06510 06513 06512 06515 06501 06502 06503 06505 06506 06507 06508 06509 06520 06521 06530 06531 06532 06533 06534 06535 06536 06540,1840004850
224,Norwich,Norwich,CT,Connecticut,9011,New London,41.5495,-72.0882,200289,533.0,polygon,False,True,America/New_York,2,06380 06389 06360,1840004828
236,Waterbury,Waterbury,CT,Connecticut,9009,New Haven,41.5583,-73.0361,189614,1456.0,polygon,False,True,America/New_York,2,06708 06702 06704 06706 06705 06710 06701 06703 06720 06721 06722 06723 06724 06725 06726,1840004851
256,Danbury,Danbury,CT,Connecticut,9001,Fairfield,41.4016,-73.471,176030,779.0,polygon,False,True,America/New_York,2,06810 06811 06813,1840004837
348,Stamford,Stamford,CT,Connecticut,9001,Fairfield,41.1035,-73.5583,129638,1330.0,polygon,False,True,America/New_York,2,06906 06907 06905 06902 06903 06901 06904 06910 06911 06912 06913 06914 06926 06927,1840004841
522,Norwalk,Norwalk,CT,Connecticut,9001,Fairfield,41.1144,-73.4215,88816,1498.0,polygon,False,True,America/New_York,3,06854 06855 06856 06850 06851 06853 06852 06857 06858,1840004839
666,New Britain,New Britain,CT,Connecticut,9003,Hartford,41.6758,-72.7862,72495,2095.0,polygon,False,True,America/New_York,2,06052 06053 06051 06050,1840004774
821,Bristol,Bristol,CT,Connecticut,9003,Hartford,41.6812,-72.9407,59947,876.0,polygon,False,True,America/New_York,3,06010 06011,1840004772
833,Meriden,Meriden,CT,Connecticut,9009,New Haven,41.5367,-72.7944,59395,963.0,polygon,False,True,America/New_York,3,06451 06450,1840004848
917,West Haven,West Haven,CT,Connecticut,9009,New Haven,41.2739,-72.9672,54620,1961.0,polygon,False,True,America/New_York,3,06516 06504,1840004852
924,Milford,Milford,CT,Connecticut,9009,New Haven,41.2256,-73.0616,54047,940.0,polygon,False,True,America/New_York,3,06461 06460,1840028594
939,Milford city ,Milford city ,CT,Connecticut,9009,New Haven,41.2256,-73.0625,53195,937.0,polygon,False,True,America/New_York,3,06461 06460,1840028605
1080,Middletown,Middletown,CT,Connecticut,9007,Middlesex,41.5476,-72.6549,46258,435.0,polygon,False,True,America/New_York,3,06457 06459,1840004844
1188,Shelton,Shelton,CT,Connecticut,9001,Fairfield,41.306,-73.1383,41129,518.0,polygon,False,True,America/New_York,3,06484,1840004840
1225,Torrington,Torrington,CT,Connecticut,9005,Litchfield,41.8349,-73.1281,40003,330.0,polygon,False,True,America/New_York,3,06790,1840004770
1553,Naugatuck,Naugatuck,CT,Connecticut,9009,New Haven,41.489,-73.0518,31108,736.0,polygon,False,True,America/New_York,3,06770,1840004849
1786,New London,New London,CT,Connecticut,9011,New London,41.3502,-72.1023,26858,1844.0,polygon,False,True,America/New_York,3,06320,1840004827
2529,Ansonia,Ansonia,CT,Connecticut,9009,New Haven,41.3443,-73.0689,18654,1196.0,polygon,False,True,America/New_York,3,06401,1840004846
2561,Wallingford Center,Wallingford Center,CT,Connecticut,9009,New Haven,41.4499,-72.8189,18322,974.0,polygon,False,True,America/New_York,3,06492 06493 06494 06495,1840073312
