,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
379,Dover,Dover,DE,Delaware,10001,Kent,39.161,-75.5203,117282,622.0,polygon,False,True,America/New_York,2,19902 19901 19904 19905 19906,1840005810
690,Wilmington,Wilmington,DE,Delaware,10003,New Castle,39.7415,-75.5413,70166,2484.0,polygon,False,True,America/New_York,2,19809 19802 19801 19806 19805 19850 19880 19884 19885 19886 19890 19893 19894 19895 19896 19898 19899,1840005579
1372,Middletown,Middletown,DE,Delaware,10003,New Castle,39.4453,-75.7166,35695,748.0,polygon,False,True,America/New_York,3,19709,1840005581
1463,Newark,Newark,DE,Delaware,10003,New Castle,39.6776,-75.7573,33515,1408.0,polygon,False,True,America/New_York,3,19713 19711 19717 19716 19725 19726,1840005578
1644,Lewes,Lewes,DE,Delaware,10005,Sussex,38.7777,-75.1448,29187,308.0,polygon,False,True,America/New_York,3,19958,1840006068
2167,Milford,Milford,DE,Delaware,10005,Sussex,38.9091,-75.4224,22102,463.0,polygon,False,True,America/New_York,3,19963,1840006069
2230,Bear,Bear,DE,Delaware,10003,New Castle,39.6188,-75.6804,21362,1444.0,polygon,False,False,America/New_York,3,19701 19702,1840005568
3118,Ocean View,Ocean View,DE,Delaware,10005,Sussex,38.5355,-75.0984,14360,305.0,polygon,False,True,America/New_York,3,19970 19945,1840006082
3122,Glasgow,Glasgow,DE,Delaware,10003,New Castle,39.6015,-75.7474,14342,557.0,polygon,False,False,America/New_York,3,19701 19702,1840005571
3293,Hockessin,Hockessin,DE,Delaware,10003,New Castle,39.7837,-75.6815,13472,518.0,polygon,False,False,America/New_York,3,19707 19736,1840005573
3350,Brookside,Brookside,DE,Delaware,10003,New Castle,39.6666,-75.7153,13191,1291.0,polygon,False,False,America/New_York,3,19713 19718,1840005569
3666,Smyrna,Smyrna,DE,Delaware,10001,Kent,39.2936,-75.6083,11813,726.0,polygon,False,True,America/New_York,3,19977,1840005820
3884,Millsboro,Millsboro,DE,Delaware,10005,Sussex,38.593,-75.3118,10985,299.0,polygon,False,True,America/New_York,3,19966,1840006079
3954,Pike Creek Valley,Pike Creek Valley,DE,Delaware,10003,New Castle,39.7296,-75.6993,10664,1594.0,polygon,False,False,America/New_York,3,19808 19711,1840028614
3967,Georgetown,Georgetown,DE,Delaware,10005,Sussex,38.6894,-75.3872,10638,581.0,polygon,False,True,America/New_York,3,19947,1840006065
4584,Claymont,Claymont,DE,Delaware,10003,New Castle,39.8032,-75.4606,8676,1557.0,polygon,False,False,America/New_York,3,19703,1840005570
4743,Pike Creek,Pike Creek,DE,Delaware,10003,New Castle,39.7485,-75.6953,8312,1165.0,polygon,False,False,America/New_York,3,19808 19707 19711,1840028618
4886,Seaford,Seaford,DE,Delaware,10005,Sussex,38.6538,-75.611,8013,609.0,polygon,False,True,America/New_York,3,19973,1840006071
4918,Wilmington Manor,Wilmington Manor,DE,Delaware,10003,New Castle,39.6858,-75.5849,7902,1887.0,polygon,False,False,America/New_York,3,19720,1840005575
5127,North Star,North Star,DE,Delaware,10003,New Castle,39.755,-75.7331,7441,422.0,polygon,False,False,America/New_York,3,19711,1840028615
5629,Edgemoor,Edgemoor,DE,Delaware,10003,New Castle,39.7551,-75.507,6471,1338.0,polygon,False,False,America/New_York,3,19809 19802,1840028608
5977,Elsmere,Elsmere,DE,Delaware,10003,New Castle,39.7385,-75.5946,5872,2252.0,polygon,False,True,America/New_York,2,19804 19805,1840005574
6290,New Castle,New Castle,DE,Delaware,10003,New Castle,39.6685,-75.5692,5392,617.0,polygon,False,True,America/New_York,3,19720 19721,1840005577
6964,Harrington,Harrington,DE,Delaware,10001,Kent,38.9244,-75.5707,4543,515.0,polygon,False,True,America/New_York,3,19952,1840005811
7148,Laurel,Laurel,DE,Delaware,10005,Sussex,38.5692,-75.5689,4356,606.0,polygon,False,True,America/New_York,3,19956,1840006078
7267,Rising Sun-Lebanon,Rising Sun-Lebanon,DE,Delaware,10001,Kent,39.0999,-75.5047,4263,460.0,polygon,False,True,America/New_York,3,19934 19962 19901,1840073664
